target_city,anchor_budget,target,universe,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery,top_k
Canakkale,1,cooling,strict_holdout,1,999,base_0948,0.7692439605231295,1.1253786947950122,0.991502693202602,0.9985203199191176,0.9698094888475652,0.0,0.96,50
Canakkale,1,total,strict_holdout,1,999,base_0948,2.557646837602752,3.3437126859578576,0.970902957773703,0.9931619274585204,0.92992190587381,0.2074570000000051,0.78,50
Canakkale,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,2.5939926690182875,3.411542859061077,0.9763624096141164,0.9984702398961136,0.9684152860186988,0.6405760000000029,0.98,50
Canakkale,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,0.6962978644591159,1.0092312056492776,0.993175260416706,0.998960858721225,0.97415539792067,0.0,0.98,50
Canakkale,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,2.527177883621118,3.225527825747796,0.9729568997421116,0.9932588043484344,0.9303331681792366,1.102788000000004,0.7,50
Hatay,1,heating,strict_holdout,1,999,base_0948,2.902319655543057,3.733693236581416,0.9319332280627808,0.987623138168228,0.9103793171929446,0.4893470000000004,0.84,50
Hatay,1,cooling,strict_holdout,1,999,base_0948,2.4791322604584685,3.2709093167102963,0.9638833946882642,0.9983046573627734,0.9644614554434194,0.4449919999999991,0.9,50
Hatay,1,total,strict_holdout,1,999,base_0948,3.4422183280089875,4.491141202839063,0.9372926089171364,0.9705922114499266,0.856180830128726,0.1543230000000051,0.92,50
Hatay,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,2.1028936259756152,2.65711453676263,0.9655833348808992,0.9911544397298422,0.9266151869262408,0.4893470000000004,0.88,50
Hatay,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,1.958035809584857,2.6062679941779585,0.9771043507171304,0.99860074707063,0.9682904134089017,0.0,0.94,50
Hatay,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,3.1436375900519447,4.008363200190227,0.95010819277812,0.9767497436414324,0.8718283364148672,0.1543230000000051,0.9,50
Kars,1,heating,strict_holdout,1,999,base_0948,2.5408384903680683,3.3271019248692952,0.9958345516829572,0.9981834660311611,0.9746239225197144,0.0,0.98,50
Kars,1,cooling,strict_holdout,1,999,base_0948,0.5825778845257038,0.8675558456762715,0.9712992882683528,0.9916131722905268,0.9262749723671568,0.4655380000000004,0.92,50
Kars,1,total,strict_holdout,1,999,base_0948,2.5913533949179977,3.397705024669341,0.99504968845424,0.997606311722544,0.9683330625214394,0.9799199999999928,0.98,50
Kars,3,heating,strict_holdout,3,997,base_0948|base_0945|base_0724,2.673405055169717,3.3869223016892738,0.9956858423470414,0.9985278165907532,0.9740184408647632,2.220088000000004,1.0,50
Kars,3,cooling,strict_holdout,3,997,base_0948|base_0945|base_0724,0.5829011219187377,0.8610986034132295,0.9717546425897928,0.991134666282451,0.9265829617366156,0.0817490000000003,0.9,50
Kars,3,total,strict_holdout,3,997,base_0948|base_0945|base_0724,2.844085197337758,3.676059532873928,0.9942086910530936,0.997387870688871,0.9640890543115292,0.9799199999999928,0.96,50
Konya,1,heating,strict_holdout,1,999,base_0948,1.7203903783080106,2.2580442983960016,0.9963101568841466,0.9986807007408208,0.971518612801178,0.0,0.98,50
Konya,1,cooling,strict_holdout,1,999,base_0948,0.8169869596663227,1.037912970564933,0.9887800810529328,0.9983305349437612,0.9660983628919504,0.1541040000000002,0.96,50
