protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute_aligned_3shot,Bartin,heating,3,0,997,base_0948|base_0945|base_0724,4.372453119778094,5.236541681718391,0.9643010281191654,0.9953248571559138,0.9450882768788293,0.8561049999999994,0.98
zero_shot_absolute_aligned_3shot,Bartin,cooling,3,0,997,base_0948|base_0945|base_0724,2.440172267271939,2.786385937831796,0.9262840756474295,0.9821446859834885,0.8925088518567753,0.2197490000000002,0.86
zero_shot_absolute_aligned_3shot,Bartin,total,3,0,997,base_0948|base_0945|base_0724,3.2904498863983354,4.220987446784461,0.9672967714539111,0.9906786782347672,0.9235537939118562,1.372951999999998,0.84
3_shot_global_bias,Bartin,heating,3,3,997,base_0948|base_0945|base_0724,3.0729969973661215,3.7366352749301552,0.9818227576342601,0.9953248571559138,0.9450882768788293,0.8561049999999994,0.98
3_shot_global_bias,Bartin,cooling,3,3,997,base_0948|base_0945|base_0724,1.2128964926194963,1.649933388346938,0.9741529133653107,0.9821446859834885,0.8925088518567753,0.2197490000000002,0.86
3_shot_global_bias,Bartin,total,3,3,997,base_0948|base_0945|base_0724,3.5300705497866236,4.252014421535655,0.9668142248730229,0.9906786782347672,0.9235537939118562,1.372951999999998,0.84
3_shot_raw_relative,Bartin,heating,3,3,997,base_0948|base_0945|base_0724,2.8446896770473318,3.5507369512498865,0.9835864100837106,0.996911310022009,0.957406355613024,0.0,0.98
3_shot_raw_relative,Bartin,cooling,3,3,997,base_0948|base_0945|base_0724,1.0033242391530923,1.3123010385766203,0.9836489471828027,0.9932565642456986,0.9304540126403308,0.0,0.94
3_shot_raw_relative,Bartin,total,3,3,997,base_0948|base_0945|base_0724,3.113991076966417,3.890343461782982,0.9722196061632079,0.9952145109060189,0.9478032491047441,4.646491999999995,0.8
zero_shot_absolute,Bingol,heating,0,0,1000,,41.04773730730804,41.41060092486695,-0.08556452355800337,0.9937358377358377,0.9334534534534535,6.005963000000008,0.96
zero_shot_absolute,Bingol,cooling,0,0,1000,,9.338589131101445,9.457919625065347,0.07511823664814721,0.9945123314958685,0.9362311673990349,0.13016700000000014,0.88
zero_shot_absolute,Bingol,total,0,0,1000,,50.386148377909485,50.76499368732391,-1.000601237357647,0.9816649656649656,0.887023023023023,1.6042380000000094,0.88
zero_shot_absolute_aligned_1shot,Bingol,heating,1,0,999,base_0948,41.046947060268316,41.41017170296326,-0.08460719991372656,0.9937337377457617,0.9334364424544787,6.005963000000008,0.96
zero_shot_absolute_aligned_1shot,Bingol,cooling,1,0,999,base_0948,9.33959207168987,9.458975425083583,0.07540425782843774,0.9945153820990792,0.9362478071741851,0.13016700000000014,0.88
zero_shot_absolute_aligned_1shot,Bingol,total,1,0,999,base_0948,50.38636840808281,50.76558940512561,-0.9993683633181258,0.9816408552841416,0.8869651214340595,1.6042380000000094,0.88
1_shot_global_bias,Bingol,heating,1,1,999,base_0948,4.4158300586279475,5.529461807827938,0.9806614393878633,0.9937337377457617,0.9334364424544787,6.005963000000008,0.96
1_shot_global_bias,Bingol,cooling,1,1,999,base_0948,1.27200735321435,1.8028105420905969,0.9664135677610493,0.9945153820990792,0.9362478071741851,0.13016700000000014,0.88
1_shot_global_bias,Bingol,total,1,1,999,base_0948,5.044717436621713,6.197105150457472,0.9702058033094559,0.9816408552841416,0.8869651214340595,1.6042380000000094,0.88
1_shot_raw_relative,Bingol,heating,1,1,999,base_0948,4.492065356107997,5.672049281462512,0.9796512183511651,0.9924026190519174,0.9299339419579901,6.005963000000008,0.96
1_shot_raw_relative,Bingol,cooling,1,1,999,base_0948,2.3360385524474396,3.1637288441141296,0.8965662660557501,0.9943693513152431,0.937516674991625,0.0,0.86
1_shot_raw_relative,Bingol,total,1,1,999,base_0948,4.200475653019798,5.911722596049245,0.9728867209492676,0.9859642769021525,0.9070292737627408,0.0,0.9
zero_shot_absolute_aligned_3shot,Bingol,heating,3,0,997,base_0948|base_0945|base_0724,41.04089000182829,41.40459029451577,-0.0833783276675244,0.9937223724194292,0.9333703923014023,6.005963000000008,0.96
zero_shot_absolute_aligned_3shot,Bingol,cooling,3,0,997,base_0948|base_0945|base_0724,9.340496524619423,9.46008002600329,0.07645533372507762,0.994526287758555,0.9362776444575855,0.13016700000000014,0.88
